feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0026005623,hb,1,2025-12-01
density_2015,0.0021142021,hb,1,2025-12-01
density_2020,0.00428547,hb,1,2025-12-01
delta_2015_2020,0.004322169,hb,1,2025-12-01
avg_temp_z_score_lag_1,0.002049231,hb,1,2025-12-01
hot_days_z_score_lag_1,0.00034376117,hb,1,2025-12-01
cold_days_z_score_lag_1,0.00016454454,hb,1,2025-12-01
consec_hot_days_z_score_lag_1,0.0003178009,hb,1,2025-12-01
consec_cold_days_z_score_lag_1,4.7013324e-05,hb,1,2025-12-01
precip_total_z_score_lag_1,0.00035093277,hb,1,2025-12-01
wet_days_z_score_lag_1,0.00020373001,hb,1,2025-12-01
dry_days_z_score_lag_1,0.00023186929,hb,1,2025-12-01
consec_wet_days_z_score_lag_1,0.00012993827,hb,1,2025-12-01
consec_dry_days_z_score_lag_1,0.00012544049,hb,1,2025-12-01
conflict_100km_lag_1,0.00011277367,hb,1,2025-12-01
conflict_500km_lag_1,0.000104249724,hb,1,2025-12-01
fatalities_100km_lag_1,0.000106180734,hb,1,2025-12-01
fatalities_500km_lag_1,0.00013878538,hb,1,2025-12-01
conflict_12m_100km_lag_1,0.00037299306,hb,1,2025-12-01
conflict_12m_500km_lag_1,0.0001436442,hb,1,2025-12-01
fatalities_12m_100km_lag_1,0.0001669677,hb,1,2025-12-01
fatalities_12m_500km_lag_1,0.00024567297,hb,1,2025-12-01
NDVI_mean_lag_1,0.0012531766,hb,1,2025-12-01
EVI_mean_lag_1,0.00047150452,hb,1,2025-12-01
NDVI_z_score_lag_1,0.00025377973,hb,1,2025-12-01
EVI_z_score_lag_1,9.306833e-05,hb,1,2025-12-01
NDVI_z_score_crops_lag_1,8.788503e-05,hb,1,2025-12-01
NDVI_z_score_grass_lag_1,0.00010560282,hb,1,2025-12-01
NDVI_z_score_shrub_and_scrub_lag_1,0.0002207316,hb,1,2025-12-01
NDVI_z_score_trees_lag_1,0.00013940582,hb,1,2025-12-01
EVI_z_score_crops_lag_1,9.6892654e-05,hb,1,2025-12-01
EVI_z_score_grass_lag_1,0.00011052418,hb,1,2025-12-01
EVI_z_score_shrub_and_scrub_lag_1,0.00041103218,hb,1,2025-12-01
EVI_z_score_trees_lag_1,0.00022508155,hb,1,2025-12-01
bare_lag_1,0.0008740487,hb,1,2025-12-01
built_lag_1,0.00016294752,hb,1,2025-12-01
crops_lag_1,0.00020454385,hb,1,2025-12-01
flooded_vegetation_lag_1,0.00026511765,hb,1,2025-12-01
grass_lag_1,0.00068510935,hb,1,2025-12-01
shrub_and_scrub_lag_1,0.00015734838,hb,1,2025-12-01
trees_lag_1,0.00016475175,hb,1,2025-12-01
water_lag_1,0.0007017659,hb,1,2025-12-01
bare_delta_lag_1,0.000111158704,hb,1,2025-12-01
built_delta_lag_1,0.000113033704,hb,1,2025-12-01
crops_delta_lag_1,0.00014860147,hb,1,2025-12-01
flooded_vegetation_delta_lag_1,7.466461e-05,hb,1,2025-12-01
grass_delta_lag_1,5.521724e-05,hb,1,2025-12-01
shrub_and_scrub_delta_lag_1,0.00021441655,hb,1,2025-12-01
trees_delta_lag_1,0.00016615835,hb,1,2025-12-01
water_delta_lag_1,0.00013165358,hb,1,2025-12-01
wasting_lag_1,0.0002898846,hb,1,2025-12-01
wasting_risk_lag_1,0.014817785,hb,1,2025-12-01
wasting_delta_lag_1,0.0015552217,hb,1,2025-12-01
wasting_risk_delta_lag_1,0.00040847345,hb,1,2025-12-01
wasting_sm_lag_1,0.00063140347,hb,1,2025-12-01
wasting_sm_risk_lag_1,0.9338373,hb,1,2025-12-01
avg_temp_z_score_lag_2,0.00024289897,hb,1,2025-12-01
hot_days_z_score_lag_2,0.001670693,hb,1,2025-12-01
cold_days_z_score_lag_2,0.00017540054,hb,1,2025-12-01
consec_hot_days_z_score_lag_2,0.00020088855,hb,1,2025-12-01
consec_cold_days_z_score_lag_2,4.4701057e-05,hb,1,2025-12-01
precip_total_z_score_lag_2,8.206122e-05,hb,1,2025-12-01
wet_days_z_score_lag_2,0.000116756215,hb,1,2025-12-01
dry_days_z_score_lag_2,3.517363e-05,hb,1,2025-12-01
consec_wet_days_z_score_lag_2,0.00011723917,hb,1,2025-12-01
consec_dry_days_z_score_lag_2,0.00010079311,hb,1,2025-12-01
conflict_100km_lag_2,8.532663e-05,hb,1,2025-12-01
conflict_500km_lag_2,0.00019379375,hb,1,2025-12-01
fatalities_100km_lag_2,9.114646e-05,hb,1,2025-12-01
fatalities_500km_lag_2,0.000107196094,hb,1,2025-12-01
conflict_12m_100km_lag_2,0.0002951154,hb,1,2025-12-01
conflict_12m_500km_lag_2,0.00018663474,hb,1,2025-12-01
fatalities_12m_100km_lag_2,0.00010453696,hb,1,2025-12-01
fatalities_12m_500km_lag_2,0.00017045485,hb,1,2025-12-01
NDVI_mean_lag_2,7.3134965e-05,hb,1,2025-12-01
EVI_mean_lag_2,0.000100457066,hb,1,2025-12-01
NDVI_z_score_lag_2,0.0005541101,hb,1,2025-12-01
EVI_z_score_lag_2,0.00036661758,hb,1,2025-12-01
NDVI_z_score_crops_lag_2,0.00012305137,hb,1,2025-12-01
NDVI_z_score_grass_lag_2,0.00010948695,hb,1,2025-12-01
NDVI_z_score_shrub_and_scrub_lag_2,0.00020564074,hb,1,2025-12-01
NDVI_z_score_trees_lag_2,0.00025297148,hb,1,2025-12-01
EVI_z_score_crops_lag_2,9.0611305e-05,hb,1,2025-12-01
EVI_z_score_grass_lag_2,0.00010112598,hb,1,2025-12-01
EVI_z_score_shrub_and_scrub_lag_2,7.354422e-05,hb,1,2025-12-01
EVI_z_score_trees_lag_2,0.00019314243,hb,1,2025-12-01
bare_lag_2,0.00014316464,hb,1,2025-12-01
