feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.004245259,hb,1,2026-07-01
density_2015,0.0080754915,hb,1,2026-07-01
density_2020,0.0020056183,hb,1,2026-07-01
delta_2015_2020,0.004028937,hb,1,2026-07-01
conflict_100km_lag_1,0.0068923016,hb,1,2026-07-01
conflict_500km_lag_1,0.00036771523,hb,1,2026-07-01
fatalities_100km_lag_1,0.00045902698,hb,1,2026-07-01
fatalities_500km_lag_1,0.00032641023,hb,1,2026-07-01
conflict_12m_100km_lag_1,0.00036100482,hb,1,2026-07-01
conflict_12m_500km_lag_1,0.000606161,hb,1,2026-07-01
fatalities_12m_100km_lag_1,0.00048357557,hb,1,2026-07-01
fatalities_12m_500km_lag_1,0.0008738471,hb,1,2026-07-01
wasting_lag_1,0.06875579,hb,1,2026-07-01
wasting_risk_lag_1,0.0008818005,hb,1,2026-07-01
wasting_delta_lag_1,0.00078079157,hb,1,2026-07-01
wasting_risk_delta_lag_1,0.0002363614,hb,1,2026-07-01
wasting_sm_lag_1,0.87252617,hb,1,2026-07-01
wasting_sm_risk_lag_1,0.002811295,hb,1,2026-07-01
conflict_100km_lag_2,0.0004162743,hb,1,2026-07-01
conflict_500km_lag_2,0.0003156024,hb,1,2026-07-01
fatalities_100km_lag_2,0.00040272655,hb,1,2026-07-01
fatalities_500km_lag_2,0.00019807606,hb,1,2026-07-01
conflict_12m_100km_lag_2,0.00053657935,hb,1,2026-07-01
conflict_12m_500km_lag_2,0.0016585728,hb,1,2026-07-01
fatalities_12m_100km_lag_2,0.000207853,hb,1,2026-07-01
fatalities_12m_500km_lag_2,0.000240094,hb,1,2026-07-01
wasting_lag_2,0.0101704495,hb,1,2026-07-01
wasting_risk_lag_2,0.0011727728,hb,1,2026-07-01
wasting_delta_lag_2,0.0002652449,hb,1,2026-07-01
wasting_risk_delta_lag_2,0.00048259983,hb,1,2026-07-01
wasting_sm_lag_2,0.00033467766,hb,1,2026-07-01
wasting_sm_risk_lag_2,0.00064218306,hb,1,2026-07-01
conflict_100km_lag_3,0.00021039971,hb,1,2026-07-01
conflict_500km_lag_3,0.0004000103,hb,1,2026-07-01
fatalities_100km_lag_3,0.00027400316,hb,1,2026-07-01
fatalities_500km_lag_3,0.00014848908,hb,1,2026-07-01
conflict_12m_100km_lag_3,0.0005472484,hb,1,2026-07-01
conflict_12m_500km_lag_3,0.00047153453,hb,1,2026-07-01
fatalities_12m_100km_lag_3,0.0003683344,hb,1,2026-07-01
fatalities_12m_500km_lag_3,0.0009831514,hb,1,2026-07-01
wasting_lag_3,0.0010883553,hb,1,2026-07-01
wasting_risk_lag_3,0.0019184104,hb,1,2026-07-01
wasting_delta_lag_3,0.0001893433,hb,1,2026-07-01
wasting_risk_delta_lag_3,0.00026925598,hb,1,2026-07-01
wasting_sm_lag_3,0.0002636614,hb,1,2026-07-01
wasting_sm_risk_lag_3,0.0011064396,hb,1,2026-07-01
travel_time_to_cities_2015,0.006677715,hb,2,2026-08-01
density_2015,0.00844313,hb,2,2026-08-01
density_2020,0.002262842,hb,2,2026-08-01
delta_2015_2020,0.0041668476,hb,2,2026-08-01
conflict_100km_lag_2,0.00801288,hb,2,2026-08-01
conflict_500km_lag_2,0.00087750144,hb,2,2026-08-01
fatalities_100km_lag_2,0.0012291297,hb,2,2026-08-01
fatalities_500km_lag_2,0.000880899,hb,2,2026-08-01
conflict_12m_100km_lag_2,0.0011857628,hb,2,2026-08-01
conflict_12m_500km_lag_2,0.0015653408,hb,2,2026-08-01
fatalities_12m_100km_lag_2,0.00082818686,hb,2,2026-08-01
fatalities_12m_500km_lag_2,0.001350281,hb,2,2026-08-01
wasting_lag_2,0.27161822,hb,2,2026-08-01
wasting_risk_lag_2,0.0010863042,hb,2,2026-08-01
wasting_delta_lag_2,0.006615971,hb,2,2026-08-01
wasting_risk_delta_lag_2,0.00031659743,hb,2,2026-08-01
wasting_sm_lag_2,0.6252736,hb,2,2026-08-01
wasting_sm_risk_lag_2,0.008556709,hb,2,2026-08-01
conflict_100km_lag_3,0.0003962662,hb,2,2026-08-01
conflict_500km_lag_3,0.00043467147,hb,2,2026-08-01
fatalities_100km_lag_3,0.00024322009,hb,2,2026-08-01
fatalities_500km_lag_3,0.00036315064,hb,2,2026-08-01
conflict_12m_100km_lag_3,0.0007045057,hb,2,2026-08-01
conflict_12m_500km_lag_3,0.00031585727,hb,2,2026-08-01
fatalities_12m_100km_lag_3,0.00034699624,hb,2,2026-08-01
fatalities_12m_500km_lag_3,0.000912672,hb,2,2026-08-01
wasting_lag_3,0.015467216,hb,2,2026-08-01
wasting_risk_lag_3,0.00180242,hb,2,2026-08-01
wasting_delta_lag_3,0.005349993,hb,2,2026-08-01
wasting_risk_delta_lag_3,0.00075619254,hb,2,2026-08-01
wasting_sm_lag_3,0.0030945898,hb,2,2026-08-01
wasting_sm_risk_lag_3,0.004963749,hb,2,2026-08-01
conflict_100km_lag_4,0.00036078255,hb,2,2026-08-01
conflict_500km_lag_4,0.00023900071,hb,2,2026-08-01
fatalities_100km_lag_4,0.0002501882,hb,2,2026-08-01
fatalities_500km_lag_4,0.0003955082,hb,2,2026-08-01
conflict_12m_100km_lag_4,0.0007558728,hb,2,2026-08-01
conflict_12m_500km_lag_4,0.00092036836,hb,2,2026-08-01
fatalities_12m_100km_lag_4,0.00075034925,hb,2,2026-08-01
fatalities_12m_500km_lag_4,0.0007254701,hb,2,2026-08-01
wasting_lag_4,0.0014211207,hb,2,2026-08-01
wasting_risk_lag_4,0.002905541,hb,2,2026-08-01
wasting_sm_lag_4,0.0007092174,hb,2,2026-08-01
wasting_sm_risk_lag_4,0.004467069,hb,2,2026-08-01
travel_time_to_cities_2015,0.008534259,hb,3,2026-09-01
density_2015,0.011708516,hb,3,2026-09-01
density_2020,0.0018825354,hb,3,2026-09-01
delta_2015_2020,0.0050984053,hb,3,2026-09-01
conflict_100km_lag_3,0.009639649,hb,3,2026-09-01
conflict_500km_lag_3,0.0015276922,hb,3,2026-09-01
fatalities_100km_lag_3,0.0015982932,hb,3,2026-09-01
fatalities_500km_lag_3,0.0012412213,hb,3,2026-09-01
conflict_12m_100km_lag_3,0.0049512293,hb,3,2026-09-01
conflict_12m_500km_lag_3,0.0037276146,hb,3,2026-09-01
fatalities_12m_100km_lag_3,0.0070805186,hb,3,2026-09-01
fatalities_12m_500km_lag_3,0.0008132297,hb,3,2026-09-01
wasting_lag_3,0.6926911,hb,3,2026-09-01
wasting_risk_lag_3,0.0048399456,hb,3,2026-09-01
wasting_delta_lag_3,0.016865868,hb,3,2026-09-01
wasting_risk_delta_lag_3,0.0013340088,hb,3,2026-09-01
wasting_sm_lag_3,0.11170948,hb,3,2026-09-01
wasting_sm_risk_lag_3,0.020703401,hb,3,2026-09-01
conflict_100km_lag_4,0.00092933304,hb,3,2026-09-01
conflict_500km_lag_4,0.0018580569,hb,3,2026-09-01
fatalities_100km_lag_4,0.00074315147,hb,3,2026-09-01
fatalities_500km_lag_4,0.0022920019,hb,3,2026-09-01
conflict_12m_100km_lag_4,0.0006400416,hb,3,2026-09-01
conflict_12m_500km_lag_4,0.002083599,hb,3,2026-09-01
fatalities_12m_100km_lag_4,0.007151054,hb,3,2026-09-01
fatalities_12m_500km_lag_4,0.0009425973,hb,3,2026-09-01
wasting_lag_4,0.01960483,hb,3,2026-09-01
wasting_risk_lag_4,0.0027221842,hb,3,2026-09-01
wasting_sm_lag_4,0.0025713989,hb,3,2026-09-01
wasting_sm_risk_lag_4,0.023506444,hb,3,2026-09-01
conflict_100km_lag_5,0.000858784,hb,3,2026-09-01
conflict_500km_lag_5,0.000727645,hb,3,2026-09-01
fatalities_100km_lag_5,0.0003772672,hb,3,2026-09-01
fatalities_500km_lag_5,0.0005519213,hb,3,2026-09-01
conflict_12m_100km_lag_5,0.0013299257,hb,3,2026-09-01
conflict_12m_500km_lag_5,0.001373901,hb,3,2026-09-01
fatalities_12m_100km_lag_5,0.0016937556,hb,3,2026-09-01
fatalities_12m_500km_lag_5,0.0011000959,hb,3,2026-09-01
wasting_lag_5,0.002138319,hb,3,2026-09-01
wasting_risk_lag_5,0.0052975365,hb,3,2026-09-01
wasting_sm_lag_5,0.00054742885,hb,3,2026-09-01
wasting_sm_risk_lag_5,0.013011798,hb,3,2026-09-01
