feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0023941095,hb,1,2026-07-01
density_2015,0.0019433534,hb,1,2026-07-01
density_2020,0.002410081,hb,1,2026-07-01
delta_2015_2020,0.003433905,hb,1,2026-07-01
avg_temp_z_score_season1_max_prev,0.00071135873,hb,1,2026-07-01
avg_temp_z_score_season1_sum_prev,5.4731634e-05,hb,1,2026-07-01
avg_temp_z_score_season1_mean_prev,2.1481179e-05,hb,1,2026-07-01
hot_days_z_score_season1_max_prev,3.7664682e-05,hb,1,2026-07-01
hot_days_z_score_season1_sum_prev,9.260087e-05,hb,1,2026-07-01
hot_days_z_score_season1_mean_prev,0.00018250478,hb,1,2026-07-01
cold_days_z_score_season1_max_prev,6.6235276e-05,hb,1,2026-07-01
cold_days_z_score_season1_sum_prev,8.563715e-06,hb,1,2026-07-01
cold_days_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
consec_hot_days_z_score_season1_max_prev,6.70195e-05,hb,1,2026-07-01
consec_hot_days_z_score_season1_sum_prev,0.00010231037,hb,1,2026-07-01
consec_hot_days_z_score_season1_mean_prev,0.00015341779,hb,1,2026-07-01
consec_cold_days_z_score_season1_max_prev,4.012909e-05,hb,1,2026-07-01
consec_cold_days_z_score_season1_sum_prev,0.0,hb,1,2026-07-01
consec_cold_days_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
precip_total_z_score_season1_max_prev,5.0292045e-05,hb,1,2026-07-01
precip_total_z_score_season1_sum_prev,4.6853733e-05,hb,1,2026-07-01
precip_total_z_score_season1_mean_prev,3.0221097e-05,hb,1,2026-07-01
wet_days_z_score_season1_max_prev,0.00018410945,hb,1,2026-07-01
wet_days_z_score_season1_sum_prev,0.00024122768,hb,1,2026-07-01
wet_days_z_score_season1_mean_prev,5.9163056e-05,hb,1,2026-07-01
dry_days_z_score_season1_max_prev,0.00012709595,hb,1,2026-07-01
dry_days_z_score_season1_sum_prev,0.0,hb,1,2026-07-01
dry_days_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
consec_wet_days_z_score_season1_max_prev,0.00011144428,hb,1,2026-07-01
consec_wet_days_z_score_season1_sum_prev,0.00010184109,hb,1,2026-07-01
