feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0035778133,hb,1,2026-07-01
density_2015,0.0061601354,hb,1,2026-07-01
density_2020,0.0012031905,hb,1,2026-07-01
delta_2015_2020,0.0025487875,hb,1,2026-07-01
avg_temp_z_score_season1_max_prev,0.0051269764,hb,1,2026-07-01
avg_temp_z_score_season1_sum_prev,0.0009740105,hb,1,2026-07-01
avg_temp_z_score_season1_mean_prev,0.0011353187,hb,1,2026-07-01
hot_days_z_score_season1_max_prev,0.00049830915,hb,1,2026-07-01
hot_days_z_score_season1_sum_prev,0.00014763976,hb,1,2026-07-01
hot_days_z_score_season1_mean_prev,0.0014132413,hb,1,2026-07-01
cold_days_z_score_season1_max_prev,0.003919948,hb,1,2026-07-01
cold_days_z_score_season1_sum_prev,1.247374e-05,hb,1,2026-07-01
cold_days_z_score_season1_mean_prev,0.000985125,hb,1,2026-07-01
consec_hot_days_z_score_season1_max_prev,8.451068e-05,hb,1,2026-07-01
consec_hot_days_z_score_season1_sum_prev,0.00023043116,hb,1,2026-07-01
consec_hot_days_z_score_season1_mean_prev,0.0005713409,hb,1,2026-07-01
consec_cold_days_z_score_season1_max_prev,1.0588794e-05,hb,1,2026-07-01
consec_cold_days_z_score_season1_sum_prev,0.0,hb,1,2026-07-01
consec_cold_days_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
precip_total_z_score_season1_max_prev,0.00014709614,hb,1,2026-07-01
precip_total_z_score_season1_sum_prev,0.0001129211,hb,1,2026-07-01
precip_total_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
wet_days_z_score_season1_max_prev,0.00013055718,hb,1,2026-07-01
wet_days_z_score_season1_sum_prev,0.00014587211,hb,1,2026-07-01
wet_days_z_score_season1_mean_prev,1.2048934e-05,hb,1,2026-07-01
dry_days_z_score_season1_max_prev,0.00014001099,hb,1,2026-07-01
dry_days_z_score_season1_sum_prev,0.003870469,hb,1,2026-07-01
dry_days_z_score_season1_mean_prev,0.0,hb,1,2026-07-01
consec_wet_days_z_score_season1_max_prev,0.00011082813,hb,1,2026-07-01
