feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0026266929,hb,1,2026-06-01
density_2015,0.0015863348,hb,1,2026-06-01
density_2020,0.005407452,hb,1,2026-06-01
delta_2015_2020,0.0027132998,hb,1,2026-06-01
avg_temp_z_score_season1_max_prev,0.0013099861,hb,1,2026-06-01
avg_temp_z_score_season1_sum_prev,0.00020338524,hb,1,2026-06-01
avg_temp_z_score_season1_mean_prev,3.0847743e-05,hb,1,2026-06-01
hot_days_z_score_season1_max_prev,7.6734344e-05,hb,1,2026-06-01
hot_days_z_score_season1_sum_prev,9.229197e-05,hb,1,2026-06-01
hot_days_z_score_season1_mean_prev,0.0001356554,hb,1,2026-06-01
cold_days_z_score_season1_max_prev,0.00017744635,hb,1,2026-06-01
cold_days_z_score_season1_sum_prev,1.9518176e-05,hb,1,2026-06-01
cold_days_z_score_season1_mean_prev,7.925161e-06,hb,1,2026-06-01
consec_hot_days_z_score_season1_max_prev,3.1831096e-05,hb,1,2026-06-01
consec_hot_days_z_score_season1_sum_prev,7.249708e-05,hb,1,2026-06-01
consec_hot_days_z_score_season1_mean_prev,1.0577883e-05,hb,1,2026-06-01
consec_cold_days_z_score_season1_max_prev,0.0003410331,hb,1,2026-06-01
consec_cold_days_z_score_season1_sum_prev,0.0,hb,1,2026-06-01
consec_cold_days_z_score_season1_mean_prev,0.0,hb,1,2026-06-01
precip_total_z_score_season1_max_prev,5.5090717e-05,hb,1,2026-06-01
precip_total_z_score_season1_sum_prev,2.2638038e-05,hb,1,2026-06-01
precip_total_z_score_season1_mean_prev,9.972147e-06,hb,1,2026-06-01
wet_days_z_score_season1_max_prev,4.9954004e-05,hb,1,2026-06-01
wet_days_z_score_season1_sum_prev,0.00066993776,hb,1,2026-06-01
wet_days_z_score_season1_mean_prev,0.00034368274,hb,1,2026-06-01
dry_days_z_score_season1_max_prev,0.00014738743,hb,1,2026-06-01
dry_days_z_score_season1_sum_prev,0.0,hb,1,2026-06-01
dry_days_z_score_season1_mean_prev,8.8591463e-07,hb,1,2026-06-01
consec_wet_days_z_score_season1_max_prev,3.6900165e-05,hb,1,2026-06-01
consec_wet_days_z_score_season1_sum_prev,0.00016134698,hb,1,2026-06-01
consec_wet_days_z_score_season1_mean_prev,9.8873876e-05,hb,1,2026-06-01
consec_dry_days_z_score_season1_max_prev,0.00012016847,hb,1,2026-06-01
consec_dry_days_z_score_season1_sum_prev,0.00031893363,hb,1,2026-06-01
consec_dry_days_z_score_season1_mean_prev,0.00022193318,hb,1,2026-06-01
NDVI_mean_season1_max_prev,8.84543e-05,hb,1,2026-06-01
NDVI_mean_season1_sum_prev,2.8686456e-05,hb,1,2026-06-01
NDVI_mean_season1_mean_prev,0.00010276197,hb,1,2026-06-01
EVI_mean_season1_max_prev,0.0006367992,hb,1,2026-06-01
EVI_mean_season1_sum_prev,0.00013121718,hb,1,2026-06-01
EVI_mean_season1_mean_prev,0.00014620114,hb,1,2026-06-01
NDVI_z_score_season1_max_prev,0.00017374253,hb,1,2026-06-01
NDVI_z_score_season1_sum_prev,1.5178805e-05,hb,1,2026-06-01
NDVI_z_score_season1_mean_prev,4.021769e-05,hb,1,2026-06-01
EVI_z_score_season1_max_prev,4.317673e-05,hb,1,2026-06-01
EVI_z_score_season1_sum_prev,2.4968946e-05,hb,1,2026-06-01
EVI_z_score_season1_mean_prev,0.0,hb,1,2026-06-01
NDVI_z_score_crops_season1_max_prev,8.5873304e-05,hb,1,2026-06-01
NDVI_z_score_crops_season1_sum_prev,0.00013591713,hb,1,2026-06-01
NDVI_z_score_crops_season1_mean_prev,2.2115604e-05,hb,1,2026-06-01
NDVI_z_score_grass_season1_max_prev,0.00030746876,hb,1,2026-06-01
NDVI_z_score_grass_season1_sum_prev,4.0427527e-05,hb,1,2026-06-01
NDVI_z_score_grass_season1_mean_prev,8.275605e-05,hb,1,2026-06-01
NDVI_z_score_shrub_and_scrub_season1_max_prev,7.178843e-05,hb,1,2026-06-01
NDVI_z_score_shrub_and_scrub_season1_sum_prev,0.000109517,hb,1,2026-06-01
NDVI_z_score_shrub_and_scrub_season1_mean_prev,0.00016997651,hb,1,2026-06-01
NDVI_z_score_trees_season1_max_prev,0.00012849964,hb,1,2026-06-01
NDVI_z_score_trees_season1_sum_prev,0.00024989253,hb,1,2026-06-01
NDVI_z_score_trees_season1_mean_prev,0.00018521679,hb,1,2026-06-01
EVI_z_score_crops_season1_max_prev,8.3626706e-05,hb,1,2026-06-01
EVI_z_score_crops_season1_sum_prev,3.0855812e-05,hb,1,2026-06-01
EVI_z_score_crops_season1_mean_prev,6.995774e-05,hb,1,2026-06-01
EVI_z_score_grass_season1_max_prev,0.00011210277,hb,1,2026-06-01
EVI_z_score_grass_season1_sum_prev,0.0007490015,hb,1,2026-06-01
EVI_z_score_grass_season1_mean_prev,8.189903e-05,hb,1,2026-06-01
EVI_z_score_shrub_and_scrub_season1_max_prev,1.8000921e-05,hb,1,2026-06-01
EVI_z_score_shrub_and_scrub_season1_sum_prev,0.00042109797,hb,1,2026-06-01
EVI_z_score_shrub_and_scrub_season1_mean_prev,6.900887e-05,hb,1,2026-06-01
EVI_z_score_trees_season1_max_prev,4.6052013e-05,hb,1,2026-06-01
EVI_z_score_trees_season1_sum_prev,0.00016132768,hb,1,2026-06-01
EVI_z_score_trees_season1_mean_prev,0.000243673,hb,1,2026-06-01
bare_season1_max_prev,0.00016839238,hb,1,2026-06-01
bare_season1_sum_prev,0.00018438067,hb,1,2026-06-01
bare_season1_mean_prev,1.0512339e-06,hb,1,2026-06-01
built_season1_max_prev,0.0001693051,hb,1,2026-06-01
built_season1_sum_prev,0.00013228144,hb,1,2026-06-01
built_season1_mean_prev,6.317916e-05,hb,1,2026-06-01
crops_season1_max_prev,7.266751e-05,hb,1,2026-06-01
crops_season1_sum_prev,6.80684e-05,hb,1,2026-06-01
crops_season1_mean_prev,0.00020346967,hb,1,2026-06-01
flooded_vegetation_season1_max_prev,0.00039924777,hb,1,2026-06-01
flooded_vegetation_season1_sum_prev,9.05678e-06,hb,1,2026-06-01
flooded_vegetation_season1_mean_prev,0.00029148388,hb,1,2026-06-01
grass_season1_max_prev,7.869598e-05,hb,1,2026-06-01
grass_season1_sum_prev,3.6666122e-05,hb,1,2026-06-01
grass_season1_mean_prev,2.9318133e-05,hb,1,2026-06-01
shrub_and_scrub_season1_max_prev,0.00025377178,hb,1,2026-06-01
shrub_and_scrub_season1_sum_prev,8.041305e-05,hb,1,2026-06-01
shrub_and_scrub_season1_mean_prev,2.4360872e-05,hb,1,2026-06-01
trees_season1_max_prev,2.8244303e-05,hb,1,2026-06-01
trees_season1_sum_prev,0.000101464866,hb,1,2026-06-01
trees_season1_mean_prev,6.397939e-05,hb,1,2026-06-01
water_season1_max_prev,7.21814e-05,hb,1,2026-06-01
water_season1_sum_prev,8.490299e-05,hb,1,2026-06-01
water_season1_mean_prev,1.5718639e-05,hb,1,2026-06-01
avg_temp_z_score_season2_max_prev,0.00033825953,hb,1,2026-06-01
avg_temp_z_score_season2_sum_prev,2.0709573e-05,hb,1,2026-06-01
avg_temp_z_score_season2_mean_prev,6.414555e-05,hb,1,2026-06-01
hot_days_z_score_season2_max_prev,0.00013527504,hb,1,2026-06-01
hot_days_z_score_season2_sum_prev,0.00020470965,hb,1,2026-06-01
hot_days_z_score_season2_mean_prev,0.00025591886,hb,1,2026-06-01
cold_days_z_score_season2_max_prev,0.0002736712,hb,1,2026-06-01
cold_days_z_score_season2_sum_prev,1.2829844e-05,hb,1,2026-06-01
cold_days_z_score_season2_mean_prev,1.545441e-05,hb,1,2026-06-01
consec_hot_days_z_score_season2_max_prev,4.1434843e-05,hb,1,2026-06-01
consec_hot_days_z_score_season2_sum_prev,0.00034197068,hb,1,2026-06-01
consec_hot_days_z_score_season2_mean_prev,9.273266e-05,hb,1,2026-06-01
consec_cold_days_z_score_season2_max_prev,0.0,hb,1,2026-06-01
consec_cold_days_z_score_season2_sum_prev,0.0,hb,1,2026-06-01
consec_cold_days_z_score_season2_mean_prev,0.0001539701,hb,1,2026-06-01
precip_total_z_score_season2_max_prev,6.1822575e-05,hb,1,2026-06-01
precip_total_z_score_season2_sum_prev,0.00052448077,hb,1,2026-06-01
precip_total_z_score_season2_mean_prev,2.9593999e-05,hb,1,2026-06-01
wet_days_z_score_season2_max_prev,4.390103e-05,hb,1,2026-06-01
wet_days_z_score_season2_sum_prev,0.00031411092,hb,1,2026-06-01
wet_days_z_score_season2_mean_prev,3.826673e-05,hb,1,2026-06-01
dry_days_z_score_season2_max_prev,0.00022215601,hb,1,2026-06-01
dry_days_z_score_season2_sum_prev,0.000101049816,hb,1,2026-06-01
dry_days_z_score_season2_mean_prev,0.0,hb,1,2026-06-01
consec_wet_days_z_score_season2_max_prev,9.1749345e-05,hb,1,2026-06-01
