feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0032809314,hb,1,2026-04-01
density_2015,0.0030320317,hb,1,2026-04-01
density_2020,0.007367754,hb,1,2026-04-01
delta_2015_2020,0.0034586869,hb,1,2026-04-01
conflict_100km_lag_1,0.0028881934,hb,1,2026-04-01
conflict_500km_lag_1,0.000281061,hb,1,2026-04-01
fatalities_100km_lag_1,0.000114858325,hb,1,2026-04-01
fatalities_500km_lag_1,0.00016993136,hb,1,2026-04-01
conflict_12m_100km_lag_1,0.00028466037,hb,1,2026-04-01
conflict_12m_500km_lag_1,0.00058497925,hb,1,2026-04-01
fatalities_12m_100km_lag_1,0.0001461402,hb,1,2026-04-01
fatalities_12m_500km_lag_1,0.00028263888,hb,1,2026-04-01
wasting_lag_1,0.00085649965,hb,1,2026-04-01
wasting_risk_lag_1,0.012424309,hb,1,2026-04-01
wasting_delta_lag_1,0.0019211092,hb,1,2026-04-01
wasting_risk_delta_lag_1,0.0005499766,hb,1,2026-04-01
wasting_sm_lag_1,0.00030475267,hb,1,2026-04-01
wasting_sm_risk_lag_1,0.951685,hb,1,2026-04-01
conflict_100km_lag_2,0.00024676792,hb,1,2026-04-01
conflict_500km_lag_2,0.00025585332,hb,1,2026-04-01
fatalities_100km_lag_2,0.00013991694,hb,1,2026-04-01
fatalities_500km_lag_2,0.0002795538,hb,1,2026-04-01
conflict_12m_100km_lag_2,0.00017308457,hb,1,2026-04-01
conflict_12m_500km_lag_2,0.00014384148,hb,1,2026-04-01
fatalities_12m_100km_lag_2,0.00013489749,hb,1,2026-04-01
fatalities_12m_500km_lag_2,0.0003180554,hb,1,2026-04-01
wasting_lag_2,0.0005035197,hb,1,2026-04-01
wasting_risk_lag_2,0.0036426394,hb,1,2026-04-01
wasting_delta_lag_2,0.00028342215,hb,1,2026-04-01
wasting_risk_delta_lag_2,0.0003644074,hb,1,2026-04-01
wasting_sm_lag_2,0.00018347247,hb,1,2026-04-01
wasting_sm_risk_lag_2,0.00042362578,hb,1,2026-04-01
conflict_100km_lag_3,0.0002045261,hb,1,2026-04-01
conflict_500km_lag_3,0.00024203297,hb,1,2026-04-01
fatalities_100km_lag_3,0.00010225136,hb,1,2026-04-01
fatalities_500km_lag_3,0.0001548647,hb,1,2026-04-01
conflict_12m_100km_lag_3,0.0002939466,hb,1,2026-04-01
conflict_12m_500km_lag_3,0.0001618816,hb,1,2026-04-01
fatalities_12m_100km_lag_3,0.00016089935,hb,1,2026-04-01
fatalities_12m_500km_lag_3,0.00015089002,hb,1,2026-04-01
wasting_lag_3,0.00024263222,hb,1,2026-04-01
wasting_risk_lag_3,0.00049843785,hb,1,2026-04-01
wasting_delta_lag_3,0.0001880556,hb,1,2026-04-01
wasting_risk_delta_lag_3,0.00028063674,hb,1,2026-04-01
wasting_sm_lag_3,0.000300553,hb,1,2026-04-01
wasting_sm_risk_lag_3,0.00029191122,hb,1,2026-04-01
travel_time_to_cities_2015,0.0024325151,hb,2,2026-05-01
density_2015,0.0013297658,hb,2,2026-05-01
density_2020,0.0034436223,hb,2,2026-05-01
delta_2015_2020,0.002509064,hb,2,2026-05-01
conflict_100km_lag_2,0.0010202478,hb,2,2026-05-01
conflict_500km_lag_2,0.0005267825,hb,2,2026-05-01
fatalities_100km_lag_2,0.00022096574,hb,2,2026-05-01
fatalities_500km_lag_2,0.0003182035,hb,2,2026-05-01
conflict_12m_100km_lag_2,0.00045024845,hb,2,2026-05-01
conflict_12m_500km_lag_2,0.00036434876,hb,2,2026-05-01
fatalities_12m_100km_lag_2,0.0002926334,hb,2,2026-05-01
fatalities_12m_500km_lag_2,0.00032208193,hb,2,2026-05-01
wasting_lag_2,0.0007017283,hb,2,2026-05-01
wasting_risk_lag_2,0.027453054,hb,2,2026-05-01
wasting_delta_lag_2,0.0008517243,hb,2,2026-05-01
wasting_risk_delta_lag_2,0.0038644993,hb,2,2026-05-01
wasting_sm_lag_2,0.0005714451,hb,2,2026-05-01
wasting_sm_risk_lag_2,0.93799317,hb,2,2026-05-01
conflict_100km_lag_3,0.00025358988,hb,2,2026-05-01
conflict_500km_lag_3,0.00017981186,hb,2,2026-05-01
fatalities_100km_lag_3,0.0001221662,hb,2,2026-05-01
fatalities_500km_lag_3,0.00015070077,hb,2,2026-05-01
