feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.0052564265,hb,1,2025-12-01
density_2015,0.0041337744,hb,1,2025-12-01
density_2020,0.0027744642,hb,1,2025-12-01
delta_2015_2020,0.0039407187,hb,1,2025-12-01
avg_temp_z_score_lag_1,0.0052297995,hb,1,2025-12-01
hot_days_z_score_lag_1,0.0018096024,hb,1,2025-12-01
cold_days_z_score_lag_1,0.0011307118,hb,1,2025-12-01
consec_hot_days_z_score_lag_1,0.00036961498,hb,1,2025-12-01
consec_cold_days_z_score_lag_1,0.00031018315,hb,1,2025-12-01
precip_total_z_score_lag_1,0.0006603522,hb,1,2025-12-01
wet_days_z_score_lag_1,0.00051702803,hb,1,2025-12-01
dry_days_z_score_lag_1,0.00081236206,hb,1,2025-12-01
consec_wet_days_z_score_lag_1,0.0006608534,hb,1,2025-12-01
consec_dry_days_z_score_lag_1,0.0006190919,hb,1,2025-12-01
conflict_100km_lag_1,0.00046344692,hb,1,2025-12-01
conflict_500km_lag_1,0.00060934,hb,1,2025-12-01
fatalities_100km_lag_1,0.0038577977,hb,1,2025-12-01
fatalities_500km_lag_1,0.00054100633,hb,1,2025-12-01
conflict_12m_100km_lag_1,0.00030908853,hb,1,2025-12-01
conflict_12m_500km_lag_1,0.00071560114,hb,1,2025-12-01
fatalities_12m_100km_lag_1,0.00039080097,hb,1,2025-12-01
fatalities_12m_500km_lag_1,0.0009853948,hb,1,2025-12-01
NDVI_mean_lag_1,0.00022261318,hb,1,2025-12-01
EVI_mean_lag_1,0.0007071797,hb,1,2025-12-01
NDVI_z_score_lag_1,0.0010481331,hb,1,2025-12-01
EVI_z_score_lag_1,9.498428e-05,hb,1,2025-12-01
NDVI_z_score_crops_lag_1,0.0010960331,hb,1,2025-12-01
NDVI_z_score_grass_lag_1,0.00016344835,hb,1,2025-12-01
NDVI_z_score_shrub_and_scrub_lag_1,0.00029235426,hb,1,2025-12-01
NDVI_z_score_trees_lag_1,0.0007806927,hb,1,2025-12-01
EVI_z_score_crops_lag_1,0.0003033001,hb,1,2025-12-01
EVI_z_score_grass_lag_1,0.00018824839,hb,1,2025-12-01
EVI_z_score_shrub_and_scrub_lag_1,0.0007243267,hb,1,2025-12-01
EVI_z_score_trees_lag_1,0.0009308634,hb,1,2025-12-01
bare_lag_1,0.0004874666,hb,1,2025-12-01
built_lag_1,0.00029491744,hb,1,2025-12-01
crops_lag_1,0.00025713965,hb,1,2025-12-01
flooded_vegetation_lag_1,0.00022702427,hb,1,2025-12-01
grass_lag_1,0.000111207104,hb,1,2025-12-01
shrub_and_scrub_lag_1,0.00040116403,hb,1,2025-12-01
trees_lag_1,0.00047853534,hb,1,2025-12-01
water_lag_1,0.00015667094,hb,1,2025-12-01
bare_delta_lag_1,0.002120187,hb,1,2025-12-01
built_delta_lag_1,0.00059865316,hb,1,2025-12-01
crops_delta_lag_1,9.789713e-05,hb,1,2025-12-01
flooded_vegetation_delta_lag_1,0.00015755082,hb,1,2025-12-01
grass_delta_lag_1,0.000281923,hb,1,2025-12-01
shrub_and_scrub_delta_lag_1,0.00048863515,hb,1,2025-12-01
trees_delta_lag_1,0.00032313753,hb,1,2025-12-01
water_delta_lag_1,0.000100798934,hb,1,2025-12-01
wasting_lag_1,0.06825755,hb,1,2025-12-01
wasting_risk_lag_1,0.00035061105,hb,1,2025-12-01
wasting_delta_lag_1,0.0006140972,hb,1,2025-12-01
wasting_risk_delta_lag_1,0.0004249751,hb,1,2025-12-01
wasting_sm_lag_1,0.8041269,hb,1,2025-12-01
wasting_sm_risk_lag_1,0.00593501,hb,1,2025-12-01
avg_temp_z_score_lag_2,0.0005740377,hb,1,2025-12-01
hot_days_z_score_lag_2,0.0005202323,hb,1,2025-12-01
cold_days_z_score_lag_2,0.00028136387,hb,1,2025-12-01
consec_hot_days_z_score_lag_2,0.0007050748,hb,1,2025-12-01
consec_cold_days_z_score_lag_2,0.00025406972,hb,1,2025-12-01
precip_total_z_score_lag_2,0.0021080566,hb,1,2025-12-01
wet_days_z_score_lag_2,0.000320368,hb,1,2025-12-01
dry_days_z_score_lag_2,0.00096937775,hb,1,2025-12-01
consec_wet_days_z_score_lag_2,0.000121780846,hb,1,2025-12-01
consec_dry_days_z_score_lag_2,0.00026939716,hb,1,2025-12-01
conflict_100km_lag_2,0.001272067,hb,1,2025-12-01
conflict_500km_lag_2,0.0006148903,hb,1,2025-12-01
fatalities_100km_lag_2,0.00019570072,hb,1,2025-12-01
fatalities_500km_lag_2,0.0008040377,hb,1,2025-12-01
conflict_12m_100km_lag_2,0.0011952217,hb,1,2025-12-01
conflict_12m_500km_lag_2,0.0017186573,hb,1,2025-12-01
fatalities_12m_100km_lag_2,0.0013985261,hb,1,2025-12-01
fatalities_12m_500km_lag_2,0.00014051162,hb,1,2025-12-01
NDVI_mean_lag_2,0.00025060584,hb,1,2025-12-01
EVI_mean_lag_2,0.00081234524,hb,1,2025-12-01
NDVI_z_score_lag_2,0.0003490616,hb,1,2025-12-01
EVI_z_score_lag_2,0.00036565287,hb,1,2025-12-01
NDVI_z_score_crops_lag_2,0.00016935756,hb,1,2025-12-01
NDVI_z_score_grass_lag_2,0.00019097395,hb,1,2025-12-01
NDVI_z_score_shrub_and_scrub_lag_2,0.00075657526,hb,1,2025-12-01
NDVI_z_score_trees_lag_2,0.00061157165,hb,1,2025-12-01
EVI_z_score_crops_lag_2,0.00046037167,hb,1,2025-12-01
EVI_z_score_grass_lag_2,0.00013054337,hb,1,2025-12-01
EVI_z_score_shrub_and_scrub_lag_2,0.000281787,hb,1,2025-12-01
EVI_z_score_trees_lag_2,0.000322222,hb,1,2025-12-01
bare_lag_2,0.0004073393,hb,1,2025-12-01
built_lag_2,0.00042810806,hb,1,2025-12-01
crops_lag_2,0.00040924893,hb,1,2025-12-01
