feature,importance,model,time_horizon,time_period
travel_time_to_cities_2015,0.004888506,hb,1,2025-08-01
density_2015,0.004219914,hb,1,2025-08-01
density_2020,0.0045244433,hb,1,2025-08-01
delta_2015_2020,0.004050974,hb,1,2025-08-01
avg_temp_z_score_lag_1,0.0058279154,hb,1,2025-08-01
hot_days_z_score_lag_1,0.0007885779,hb,1,2025-08-01
cold_days_z_score_lag_1,0.0004234078,hb,1,2025-08-01
consec_hot_days_z_score_lag_1,0.0006122815,hb,1,2025-08-01
consec_cold_days_z_score_lag_1,0.00024531942,hb,1,2025-08-01
precip_total_z_score_lag_1,0.000797156,hb,1,2025-08-01
wet_days_z_score_lag_1,0.00035365197,hb,1,2025-08-01
dry_days_z_score_lag_1,0.0011327564,hb,1,2025-08-01
consec_wet_days_z_score_lag_1,0.00026200345,hb,1,2025-08-01
consec_dry_days_z_score_lag_1,0.000217813,hb,1,2025-08-01
conflict_100km_lag_1,0.00019321154,hb,1,2025-08-01
conflict_500km_lag_1,0.004964964,hb,1,2025-08-01
fatalities_100km_lag_1,0.0047644977,hb,1,2025-08-01
fatalities_500km_lag_1,0.00040313773,hb,1,2025-08-01
conflict_12m_100km_lag_1,0.00092140934,hb,1,2025-08-01
conflict_12m_500km_lag_1,0.00055514614,hb,1,2025-08-01
fatalities_12m_100km_lag_1,0.00038220186,hb,1,2025-08-01
fatalities_12m_500km_lag_1,0.0007796137,hb,1,2025-08-01
NDVI_mean_lag_1,0.0012181472,hb,1,2025-08-01
EVI_mean_lag_1,0.0005037719,hb,1,2025-08-01
NDVI_z_score_lag_1,0.00030532072,hb,1,2025-08-01
EVI_z_score_lag_1,0.00072851556,hb,1,2025-08-01
NDVI_z_score_crops_lag_1,0.001258285,hb,1,2025-08-01
NDVI_z_score_grass_lag_1,0.00015809601,hb,1,2025-08-01
NDVI_z_score_shrub_and_scrub_lag_1,0.00029424447,hb,1,2025-08-01
NDVI_z_score_trees_lag_1,0.0009646458,hb,1,2025-08-01
EVI_z_score_crops_lag_1,0.00021170516,hb,1,2025-08-01
EVI_z_score_grass_lag_1,0.0004596556,hb,1,2025-08-01
EVI_z_score_shrub_and_scrub_lag_1,0.00038350187,hb,1,2025-08-01
EVI_z_score_trees_lag_1,0.0006117542,hb,1,2025-08-01
bare_lag_1,0.0006343769,hb,1,2025-08-01
built_lag_1,0.000674509,hb,1,2025-08-01
crops_lag_1,0.0010798342,hb,1,2025-08-01
flooded_vegetation_lag_1,0.000118853626,hb,1,2025-08-01
grass_lag_1,0.00010565802,hb,1,2025-08-01
shrub_and_scrub_lag_1,0.00028993262,hb,1,2025-08-01
trees_lag_1,0.00037755372,hb,1,2025-08-01
