iter	Passed	Remaining
0	1	513
1	2	539
2	3	539
3	4	533
4	5	530
5	6	523
6	7	516
7	8	511
8	9	509
9	10	501
10	11	500
11	12	501
12	13	497
13	14	495
14	15	492
15	16	487
16	17	483
17	17	480
18	19	487
19	20	484
20	27	618
21	28	617
22	29	611
23	30	607
24	31	602
25	32	595
26	33	589
27	34	584
28	35	576
29	36	571
30	37	567
31	42	623
32	43	618
33	44	612
34	50	665
35	51	661
36	52	657
37	53	652
38	54	644
39	55	635
40	56	628
41	57	622
42	58	616
43	61	635
44	62	630
45	63	625
46	64	620
47	65	615
48	67	620
49	70	631
50	71	632
51	74	637
52	76	643
53	77	639
54	80	654
55	82	657
56	85	661
57	87	667
58	89	670
59	91	669
60	93	672
61	96	678
62	97	672
63	99	678
64	101	679
65	104	687
66	105	682
67	106	676
68	111	693
69	112	693
70	113	688
71	115	683
72	119	701
73	123	710
74	124	705
75	129	723
76	133	733
77	135	733
78	137	734
79	139	732
80	141	730
81	143	731
82	144	726
83	147	731
84	150	733
85	152	735
86	153	729
87	156	734
88	159	735
89	160	731
90	161	726
91	164	728
92	166	728
93	168	727
94	169	723
95	172	724
96	176	732
97	177	727
98	181	733
99	183	732
100	185	734
101	186	729
102	189	731
103	192	733
104	194	732
105	196	731
106	198	729
107	200	728
108	201	724
109	202	719
110	206	724
111	207	719
112	210	722
113	213	721
114	215	720
115	217	718
116	219	716
117	221	716
118	222	713
119	227	720
120	228	715
121	229	710
122	230	705
123	231	700
124	231	695
125	232	691
126	233	686
127	234	682
128	236	679
129	236	674
130	237	669
131	238	665
132	239	661
133	241	659
134	243	657
135	249	666
136	253	671
137	258	678
138	260	676
139	262	673
140	265	674
141	266	673
142	268	670
143	270	669
144	271	664
145	274	664
146	275	662
147	277	660
148	280	659
149	281	656
150	283	654
151	285	653
152	286	650
153	287	646
154	294	654
155	295	651
156	296	647
157	298	645
158	298	641
159	302	641
160	303	638
161	304	634
162	307	635
163	310	635
164	312	634
165	313	630
166	316	630
167	316	626
168	319	626
169	321	624
170	323	623
171	326	622
172	327	618
173	327	614
174	332	616
175	333	613
176	333	609
177	334	605
178	336	604
179	337	600
180	340	599
181	340	595
182	341	592
183	343	590
184	344	586
185	345	583
186	346	579
187	346	575
188	347	572
189	348	569
190	349	565
191	356	571
192	356	567
193	358	564
194	358	561
195	359	557
196	360	554
197	361	551
198	362	547
199	366	549
200	368	548
201	369	544
202	371	543
203	373	541
204	375	539
205	377	538
206	378	535
207	381	536
208	383	533
209	385	532
210	387	531
211	389	529
212	391	527
213	393	525
214	395	523
215	396	521
216	398	520
217	400	518
218	403	517
219	404	514
220	407	514
221	412	516
222	413	514
223	418	515
224	420	513
225	422	511
226	424	510
227	425	507
228	426	504
229	427	501
230	433	504
231	434	501
232	436	500
233	437	497
234	441	498
235	442	495
236	443	492
237	446	491
