Ward,time_period,predicted_trend,predicted_value,lower_bound,upper_bound,predicted_trend_CI,ci_position,ci_gap,ci_badge,horizon,County,observed,observed_trend_2mo,alert_flag
Abakaile,2024-01-01,Stable,0.0,-0.000947047540103,0.001694788824534,Stable,within,0.0,Within CI,1mo,Garissa,0.0,No Data,False
Abakaile,2024-01-01,Stable,0.00051686814,-0.0022542406455613,0.0039058469003066,Stable,within,0.0,Within CI,2mo,Garissa,0.0,No Data,False
Abakaile,2024-01-01,Stable,0.002049144,-0.0031378828571178,0.0051163707626983,Stable,within,0.0,Within CI,3mo,Garissa,0.0,No Data,False
Abakaile,2024-02-01,Stable,0.00048271706,-0.0039283419493585,0.002059774682857,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-02-01,Stable,0.0,-0.0080748181324452,0.006701121898368,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-02-01,Stable,0.0,-0.0109486749395728,0.0122789908666163,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-03-01,Stable,0.0005347816,-0.0028993968036957,0.0014086729264818,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-03-01,Stable,0.0,-0.0103529939427971,0.0026149624725803,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-03-01,Stable,0.0,-0.013757144799456,0.0046931579243391,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-04-01,Stable,0.00043969412,-0.0013349071028642,0.0007909543783171,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-04-01,Stable,0.0,-0.0078069891547784,0.0012410185590852,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-04-01,Stable,0.0,-0.0145713992416858,-0.0006815238913986,Stable,above_upper,-0.0006815238913986,▼ -0.1%,3mo,Garissa,0.0,Stable,False
Abakaile,2024-05-01,Stable,0.0005285643,-0.0021295752958394,0.0009173158643534,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-05-01,Stable,0.0,-0.0074261982226744,0.001179239002522,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-05-01,Stable,0.0,-0.0115667003672569,-3.056555115108528e-05,Stable,above_upper,-3.056555115108528e-05,▼ -0.0%,3mo,Garissa,0.0,Stable,False
Abakaile,2024-06-01,Stable,0.0005820959,-0.0001278675576031,0.002817056060303,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-06-01,Stable,0.0048900708,-0.0009866238746326,0.0097084117121994,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-06-01,Stable,0.00030068014,-0.0050250478554517,0.0018991799792274,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-07-01,Stable,0.0021378882,0.0001843140351411,0.0084822311066091,Stable,below_lower,0.0001843140351411,▲ +0.0%,1mo,Garissa,0.0,Stable,False
Abakaile,2024-07-01,Stable,0.002628439,-0.0012719468970317,0.0106901763472706,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-07-01,Stable,0.0,-0.0033347601420246,0.0045144787523895,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-08-01,Stable,0.002652129,-2.7396467032758544e-07,0.0130747725255787,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-08-01,Stable,0.0,-0.0011216511658858,0.0053834246937185,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-08-01,Stable,0.0010653692,-0.0015735362598206,0.0052499098237603,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-09-01,Stable,1.480351e-05,-0.0004476007990888,0.0011320246267132,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-09-01,Stable,0.00026476965,-0.0011003981402609,0.0008058573090238,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-09-01,Stable,0.0005859107,-0.0016184134874492,0.0020639139343984,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-10-01,Stable,0.00012999774,-0.0014887951896525,0.0009695085464045,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-10-01,Stable,0.0,-0.0033161086263135,0.0007431472098687,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-10-01,Stable,0.0,-0.0045021037803962,0.0027311057201586,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-11-01,Stable,0.0,-0.0008288142998935,0.0010146209795493,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-11-01,Stable,0.0,-0.0010978597856592,0.0018475174845661,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-11-01,Stable,0.00095607823,-0.0017854194797109,0.0010764341510366,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2024-12-01,Stable,0.0008526495,-0.0001265461549337,0.002966002037283,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2024-12-01,Stable,0.000546189,-0.0005584404047112,0.0021019218023866,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2024-12-01,Stable,0.0010680214,-0.0009161950089037,0.0034901298349723,Stable,within,0.0,Within CI,3mo,Garissa,0.0,Stable,False
Abakaile,2025-01-01,Stable,0.00018021443,-0.0001756811303494,0.0020048397942446,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2025-01-01,Stable,0.00026501264,-0.0007801126077538,0.0007840504491468,Stable,within,0.0,Within CI,2mo,Garissa,0.0,Stable,False
Abakaile,2025-01-01,Stable,0.0027811246,0.0006723456084728,0.0060280336765572,Stable,below_lower,0.0006723456084728,▲ +0.1%,3mo,Garissa,0.0,Stable,False
Abakaile,2025-02-01,Stable,0.0,-0.0002741407894063,0.0006631615979131,Stable,within,0.0,Within CI,1mo,Garissa,0.0,Stable,False
Abakaile,2025-02-01,Stable,0.0029625376,0.0015823475201614,0.0048599167261272,Stable,below_lower,0.0015823475201614,▲ +0.2%,2mo,Garissa,0.0,Stable,False
Abakaile,2025-02-01,Stable,0.0025422892,0.0016791779431514,0.0067889174446463,Stable,below_lower,0.0016791779431514,▲ +0.2%,3mo,Garissa,0.0,Stable,False
Abakaile,2025-03-01,Stable,0.0021017743,0.0012039177119731,0.004539823369123,Stable,within,0.0,Within CI,1mo,Garissa,0.0022385628069343,Stable,False
Abakaile,2025-03-01,Stable,0.0046321293,0.0030152517021633,0.0088292197789996,Stable,below_lower,0.0007766888952290001,▲ +0.1%,2mo,Garissa,0.0022385628069343,Stable,False
Abakaile,2025-03-01,Stable,0.0,-0.0013612601091153,0.0041184895439073,Stable,within,0.0,Within CI,3mo,Garissa,0.0022385628069343,Stable,False
Abakaile,2025-04-01,Stable,0.012576899,0.0049690048675984,0.0194974249228835,Stable,within,0.0,Within CI,1mo,Garissa,0.0050928946805203,Stable,False
Abakaile,2025-04-01,Stable,0.0038326164,0.0018282761215232,0.0055464180884882,Stable,within,0.0,Within CI,2mo,Garissa,0.0050928946805203,Stable,False
Abakaile,2025-04-01,Stable,0.005767055,-0.0006287078926106,0.0141637360677123,Stable,within,0.0,Within CI,3mo,Garissa,0.0050928946805203,Stable,False
Abakaile,2025-05-01,Stable,0.0036761225,0.003020314569585,0.0076283558737486,Stable,within,0.0,Within CI,1mo,Garissa,0.0046070189026707,Stable,False
Abakaile,2025-05-01,Stable,0.0044887606,-0.0001449565730581,0.0158528714440762,Stable,within,0.0,Within CI,2mo,Garissa,0.0046070189026707,Stable,False
Abakaile,2025-05-01,Increasing,0.017710803,0.0061627398943528,0.0396328154951333,Stable,below_lower,0.0015557209916820993,▲ +0.2%,3mo,Garissa,0.0046070189026707,Stable,False
Abakaile,2025-06-01,Stable,0.004504841,0.0026196783524937,0.0120556849054992,Stable,within,0.0,Within CI,1mo,Garissa,0.0037401949719275,Stable,False
Abakaile,2025-06-01,Stable,0.008052768,0.0015051790338475,0.0194616761058568,Stable,within,0.0,Within CI,2mo,Garissa,0.0037401949719275,Stable,False
Abakaile,2025-06-01,Stable,0.011345451,0.0024543895269744,0.0308547084219753,Stable,within,0.0,Within CI,3mo,Garissa,0.0037401949719275,Stable,False
Abakaile,2025-07-01,Stable,0.009107493,0.0021501727052964,0.0145622731186449,Stable,within,0.0,Within CI,1mo,Garissa,0.0027249143854117,Stable,False
Abakaile,2025-07-01,Stable,0.011499664,0.0006388574955053,0.0230993083678185,Stable,within,0.0,Within CI,2mo,Garissa,0.0027249143854117,Stable,False
Abakaile,2025-07-01,Increasing,0.016476732,0.0033938739798031,0.0353941816836595,Stable,below_lower,0.0006689595943914,▲ +0.1%,3mo,Garissa,0.0027249143854117,Stable,False
Abakaile,2025-08-01,Stable,0.0031219427,0.0009700208640424,0.0077711697667837,Stable,within,0.0,Within CI,1mo,Garissa,0.0017813750324883,Stable,False
Abakaile,2025-08-01,Stable,0.0043681357,-0.0019179408613126,0.0136910764034837,Stable,within,0.0,Within CI,2mo,Garissa,0.0017813750324883,Stable,False
Abakaile,2025-08-01,Stable,0.009702032,0.0015100330172572,0.0271132683381438,Stable,within,0.0,Within CI,3mo,Garissa,0.0017813750324883,Stable,False
Abakaile,2025-10-01,Stable,0.0012956257,-0.0006597631174372,0.0075795998563989,Stable,within,0.0,Within CI,1mo,Garissa,0.0010448554041973,Stable,False
Abakaile,2025-10-01,Stable,0.00769213,-0.0010358442319557,0.0205153555609285,Stable,within,0.0,Within CI,2mo,Garissa,0.0010448554041973,Stable,False
Abakaile,2025-10-01,Increasing,0.022641318,0.0035975780454464,0.0423551699146628,Stable,below_lower,0.0025527226412491,▲ +0.3%,3mo,Garissa,0.0010448554041973,Stable,False
Abakaile,2025-11-01,Increasing,0.0117762685,-0.0002079661680909,0.0498992895707488,Stable,within,0.0,Within CI,1mo,Garissa,0.00054980118394,Stable,False
Abakaile,2025-11-01,Increasing,0.017857224,-0.0019003612513188,0.0236351479776203,Stable,within,0.0,Within CI,2mo,Garissa,0.00054980118394,Stable,False
Abakaile,2025-11-01,Increasing,0.03297318,0.0003430199067224,0.0446367237716913,Stable,within,0.0,Within CI,3mo,Garissa,0.00054980118394,Stable,False
Abakaile,2025-12-01,Increasing,0.01075121,-3.1146683613769694e-05,0.0377674415707587,Stable,within,0.0,Within CI,1mo,Garissa,0.0002595080872269,Stable,False
Abakaile,2025-12-01,Increasing,0.011956547,-0.0012086443312,0.0237811191938817,Stable,within,0.0,Within CI,2mo,Garissa,0.0002595080872269,Stable,False
Abakaile,2025-12-01,Increasing,0.023810545,0.0011874962830916,0.0480965828523039,Stable,below_lower,0.0009279881958646999,▲ +0.1%,3mo,Garissa,0.0002595080872269,Stable,False
Abakaile,2026-01-01,Stable,0.00049041444,-0.0009878624230623,0.0066211340250447,Stable,within,0.0,Within CI,1mo,Garissa,0.0001098592636863,Stable,False
Abakaile,2026-01-01,Stable,0.0058366978,-0.0021788763348013,0.0364165421575307,Stable,within,0.0,Within CI,2mo,Garissa,0.0001098592636863,Stable,False
Abakaile,2026-01-01,Increasing,0.016745146,0.0022975545143708,0.0366350319236516,Stable,below_lower,0.0021876952506845,▲ +0.2%,3mo,Garissa,0.0001098592636863,Stable,False
Abakaile,2026-02-01,Stable,0.000543215,-0.0001212159735587,0.001185496407561,Stable,within,0.0,Within CI,1mo,Garissa,3.305265290698139e-05,Stable,False
Abakaile,2026-02-01,Stable,0.0024096617,0.0007181209395639,0.0125151235144585,Stable,below_lower,0.0006850682866569186,▲ +0.1%,2mo,Garissa,3.305265290698139e-05,Stable,False
Abakaile,2026-02-01,Stable,0.006961054,0.0023478016722947,0.0245713936164975,Stable,below_lower,0.0023147490193877185,▲ +0.2%,3mo,Garissa,3.305265290698139e-05,Stable,False
