Ward,time_period,predicted_trend,predicted_value,lower_bound,upper_bound,predicted_trend_CI,ci_position,ci_gap,ci_badge,horizon,County,observed,observed_trend_2mo,alert_flag
Abakaile,2024-01-01,Stable,0.030962925,0.0209767851047217,0.044328885525465,Stable,within,0.0,Within CI,1mo,Garissa,0.0235294117647058,No Data,False
Abakaile,2024-01-01,Stable,0.031393386,0.0185656977817416,0.0486987125128507,Stable,within,0.0,Within CI,2mo,Garissa,0.0235294117647058,No Data,False
Abakaile,2024-01-01,Stable,0.028849421,0.0127365133725106,0.0568844553083181,Stable,within,0.0,Within CI,3mo,Garissa,0.0235294117647058,No Data,False
Abakaile,2024-02-01,Stable,0.027197352,0.0047905868152156,0.0445007164031267,Stable,within,0.0,Within CI,1mo,Garissa,0.0291581758941753,Stable,False
Abakaile,2024-02-01,Stable,0.036856934,0.0001537646901851,0.0587501926347613,Stable,within,0.0,Within CI,2mo,Garissa,0.0291581758941753,Stable,False
Abakaile,2024-02-01,Stable,0.031545177,-0.0085919042583554,0.0704907920211553,Stable,within,0.0,Within CI,3mo,Garissa,0.0291581758941753,Stable,False
Abakaile,2024-03-01,Stable,0.04132824,0.0262969666160643,0.0603574460372328,Stable,within,0.0,Within CI,1mo,Garissa,0.0406674420833195,Increasing,False
Abakaile,2024-03-01,Stable,0.033373773,0.0011911218432942,0.0668122068047523,Stable,within,0.0,Within CI,2mo,Garissa,0.0406674420833195,Increasing,False
Abakaile,2024-03-01,Decreasing,0.012227897,-0.0273776498623192,0.0487538395449519,Stable,within,0.0,Within CI,3mo,Garissa,0.0406674420833195,Increasing,False
Abakaile,2024-04-01,Stable,0.054492567,0.0404330486431717,0.0838217563927173,Stable,within,0.0,Within CI,1mo,Garissa,0.0468229452984757,Stable,False
Abakaile,2024-04-01,Stable,0.04018609,0.0036187945050187,0.070928581058979,Stable,within,0.0,Within CI,2mo,Garissa,0.0468229452984757,Stable,False
Abakaile,2024-04-01,Decreasing,0.020561751,-0.0171907012350857,0.0501069338992237,Stable,within,0.0,Within CI,3mo,Garissa,0.0468229452984757,Stable,False
Abakaile,2024-05-01,Stable,0.037172433,0.0228042821399867,0.0508953660726547,Stable,within,0.0,Within CI,1mo,Garissa,0.0387507815061131,Stable,False
Abakaile,2024-05-01,Decreasing,0.023529422,-0.002893260482233,0.0472076810896396,Stable,within,0.0,Within CI,2mo,Garissa,0.0387507815061131,Stable,False
Abakaile,2024-05-01,Decreasing,0.024128249,-0.0244637263007462,0.038226887397468,Stable,above_upper,-0.0005238941086451038,▼ -0.1%,3mo,Garissa,0.0387507815061131,Stable,False
Abakaile,2024-06-01,Stable,0.042660676,0.0402175085619092,0.0563457606360316,Stable,below_lower,0.00022689625543689806,▲ +0.0%,1mo,Garissa,0.0399906123064723,Stable,False
Abakaile,2024-06-01,Stable,0.031004159,0.0260331406258046,0.05575746987015,Stable,within,0.0,Within CI,2mo,Garissa,0.0399906123064723,Stable,False
Abakaile,2024-06-01,Decreasing,0.029709117,0.0077367778168991,0.0534169325605034,Stable,within,0.0,Within CI,3mo,Garissa,0.0399906123064723,Stable,False
Abakaile,2024-07-01,Stable,0.030877266,0.0211684443987906,0.041028138808906,Stable,within,0.0,Within CI,1mo,Garissa,0.0301159142179606,Stable,False
Abakaile,2024-07-01,Decreasing,0.0067864056,0.0055433284724131,0.0353514283895492,Stable,within,0.0,Within CI,2mo,Garissa,0.0301159142179606,Stable,False
Abakaile,2024-07-01,Decreasing,0.011690614,-0.0014324495277833,0.0504156284034251,Stable,within,0.0,Within CI,3mo,Garissa,0.0301159142179606,Stable,False
Abakaile,2024-08-01,Stable,0.012754317,0.0117385691497474,0.0454052774235605,Stable,within,0.0,Within CI,1mo,Garissa,0.0211778562483605,Stable,False
Abakaile,2024-08-01,Stable,0.017484548,0.008598341140896,0.0623180381953715,Stable,within,0.0,Within CI,2mo,Garissa,0.0211778562483605,Stable,False
Abakaile,2024-08-01,Decreasing,0.0032656419,-0.00443465791177,0.0714671596884727,Stable,within,0.0,Within CI,3mo,Garissa,0.0211778562483605,Stable,False
Abakaile,2024-09-01,Stable,0.014778935,0.0136999951209872,0.0302783600054681,Stable,within,0.0,Within CI,1mo,Garissa,0.0192500200538886,Stable,False
Abakaile,2024-09-01,Stable,0.011190563,0.0091482247691601,0.0523115135729312,Stable,within,0.0,Within CI,2mo,Garissa,0.0192500200538886,Stable,False
Abakaile,2024-09-01,Stable,0.010454446,0.0048692506738007,0.033592284657061,Stable,within,0.0,Within CI,3mo,Garissa,0.0192500200538886,Stable,False
Abakaile,2024-10-01,Decreasing,0.0022337644,0.0023074841126799,0.0143695446662604,Stable,within,0.0,Within CI,1mo,Garissa,0.0133929331562329,Stable,False
Abakaile,2024-10-01,Decreasing,0.0,-0.0060424144612625,0.0232758560217916,Stable,within,0.0,Within CI,2mo,Garissa,0.0133929331562329,Stable,False
Abakaile,2024-10-01,Stable,0.010639033,-0.0001773414463968,0.0472818925976753,Stable,within,0.0,Within CI,3mo,Garissa,0.0133929331562329,Stable,False
Abakaile,2024-11-01,Stable,0.0074541206,0.0058255309704691,0.0155771607067435,Stable,within,0.0,Within CI,1mo,Garissa,0.0116130304602041,Stable,False
Abakaile,2024-11-01,Increasing,0.037548546,0.0246757991611957,0.0523922741413116,Increasing,below_lower,0.0130627687009916,▲ +1.3%,2mo,Garissa,0.0116130304602041,Stable,False
Abakaile,2024-11-01,Stable,0.013399301,0.0047992783598601,0.0306562526151537,Stable,within,0.0,Within CI,3mo,Garissa,0.0116130304602041,Stable,False
Abakaile,2024-12-01,Increasing,0.042080555,0.0314743688330054,0.0459665922448039,Stable,below_lower,0.001481686342339205,▲ +0.1%,1mo,Garissa,0.0299926824906662,Increasing,False
Abakaile,2024-12-01,Stable,0.030490827,0.0246393389999866,0.0453730637207627,Stable,within,0.0,Within CI,2mo,Garissa,0.0299926824906662,Increasing,False
Abakaile,2024-12-01,Increasing,0.041285332,0.0324413431808352,0.0714996375143527,Stable,below_lower,0.002448660690169,▲ +0.2%,3mo,Garissa,0.0299926824906662,Increasing,False
Abakaile,2025-01-01,Stable,0.028229186,0.0267864876426756,0.0359528314322233,Stable,within,0.0,Within CI,1mo,Garissa,0.0321148711417703,Stable,False
